chunk1,chunk2,value,explanation
Death toll,Death toll,5,EQUI
climbs,rises,5,EQUI
in Indonesia boat sinking,in Indonesia boat capsize,5,EQUI
to 15,to 11,4,SIMI
preliminary results,in initial Iran count,4,SPE2
Rouhani,Rouhani,5,EQUI
leads,leads,5,EQUI
before pro-Morsi protests,for massive protests,4,SPE1
security,bracing,3,SIMI
Egypt,Egypt,5,EQUI
hits,climbs,5,EQUI
death toll,death toll,5,EQUI
Bangladesh building collapse,Bangladesh building-collapse,5,EQUI
362,to 580,2,SIMI
2 dead,2 dead,5,EQUI
2 injured,2 hurt,5,EQUI
in Nevada middle school shooting,in middle school shooting,5,EQUI
mixed sex schools ban,in mixed-sex school ` ban ',5,EQUI
Hamas,Hamas,5,EQUI
Russia,Russia,5,EQUI
gives,gives,5,EQUI
to American adoption ban,to adoption ban,4,SPE1
initial OK,initial approval,5,EQUI
Among 7 Dead,among 7 dead,5,EQUI
After Florida Apartment Shooting,after Fla. apartment shootout,5,EQUI
Gunman,Gunman,5,EQUI
the deaths,The deaths,5,EQUI
to the police,by police,5,EQUI
New information,after they received information,4,SPE1
of Princess Diana and Dodi Fayed,of Princess Diana and Dodi Al Fayed,5,EQUI
's death,Diana and Fayed death info,1,SPE2
against Pakistan,against Pakistan,5,EQUI
pledges,promises,5,EQUI
Narendra Modi,'s Modi,5,EQUI
tough stand,tough stance,5,EQUI
Boy Scouts,Boy Scouts,5,EQUI
decision,vote,4,SIMI
delay,delays,5,EQUI
gays,on gays,5,EQUI
on admitting,on lifting,3,SIMI
0.26 pc,1.53 %,2,SIMI
Tokyo stocks,Tokyo stocks,5,EQUI
close down,close down,5,EQUI
USA,U.S.,5,EQUI
expels,expels,5,EQUI
Venezuela diplomats,Venezuelan diplomats,5,EQUI
warns,warns,5,EQUI
record profits,13 % rise,3,SPE2
Ryanair,Ryanair,5,EQUI
reports,reports,5,EQUI
this year,this year,5,EQUI
growth,of slower growth,4,SIMI
Opposition leaders,Cambodia opposition leaders,4,SPE2
Commonwealth summit,Commonwealth summit,5,EQUI
Indian media,Indian PM,1,REL
gay marriage bill,gay marriage,4,SPE1
backs,backs,5,EQUI
Yvette Cooper,White House,1,REL
killed,9 Dead,2,SIMI
in new Darfur tribal clashes,in New Darfur Tribal Clash,5,EQUI
after deadly Bangladesh building collapse,as Bangladesh building toll,4,SPE1
arrested,arrested,5,EQUI
8,Four,3,SIMI
Afghans,Afghan District Governor,2,REL
Taliban,To Taliban,5,EQUI
divided,divided,5,EQUI
in Afghanistan,in Afghanistan,5,EQUI
17 civilians,10 police,3,SIMI
kill,kill,5,EQUI
Taliban attacks,Series of attacks,4,SPE1
Texas residents,Residents,4,SPE1
after deadly blast,to Texas blast site,4,SPE1
Mali,Mali,5,EQUI
for president,After Presidential Runoff,3,REL
to vote,Votes,3,SIMI
Central African Republic president,Central African Republic President,5,EQUI
overthrown,stepping down,3,SIMI
North Korean nuclear test,controversial third nuclear test,3,SPE2
in Russian coal mine blast,in Russia coal mine blast,5,EQUI
18,Ten,3,SIMI
trapped,killed,2,SIMI
Blizzard hammers,Blizzard wallops,4,SIMI
U.S. Northeast,US Northeast,5,EQUI
hits,shakes,5,EQUI
6.9 magnitude earthquake,5.6 magnitude earthquake,3,SIMI
New Zealand,Iran,2,SIMI
Daily Press Briefing,Daily Press Briefing,5,EQUI
South Sudan,Syria,2,SIMI
French parliament,Russian parliament,2,SIMI
Manning,Ariel Castro,1,SIMI
in prison,in prison,5,EQUI
sentenced,sentenced,5,EQUI
to 35 years,"to 1,000 years",1,SIMI
lower,higher,4,OPPO
China stocks,China stocks,5,EQUI
on Friday,on Wednesday,3,SIMI
close,close,5,EQUI
in Texas fertilizer plant blast,of Texas fertiliser plant blast,5,EQUI
Syria,Syria,5,EQUI
the U.S.,US,5,EQUI
chemical weapons,chemical weapons,5,EQUI
reiterates,announces,2,SIMI
to phase out,to change,2,SIMI
plan,plans,5,EQUI
polymer notes,polymer Naira notes,3,SPE2
India gang-rape victim,Indian rape victim,4,SPE1
Yacimovich,Israel,3,SPE1
to approve,agrees,4,SIMI
Palestinian prisoners,104 Palestinian prisoners,4,SPE2
release,to free,5,EQUI
over settlement plans,over settlements,4,SPE1
Israeli envoys,Israeli envoy,4,SIMI
summoned,summons,5,EQUI
Obama,in Obama,5,EQUI
in State of the Union,'s State of the Union speech,2,SPE2
convicted,jail time,5,EQUI
in Kosovo organ trafficking case,in organ trafficking case,5,EQUI
Five,3,4,SIMI
kills,kill,5,EQUI
in Iraq,in Iraq,5,EQUI
of bombings,Car bombs,3,SPE2
15,49,2,SIMI
kill,kill,5,EQUI
nine people,6 soldiers,2,SPE2
in northwest Pakistan,in northwest Pakistan,5,EQUI
after deadly Bangladesh building collapse,after Bangladesh building collapse,4,SPE1
Snowden,Snowden,5,EQUI
against protesters,about protests,2,REL
kill,kills,5,EQUI
in southern Iraq,in northern Iraq,4,OPPO
8,14,3,SIMI
2 car bombs,Car bombing,4,SPE1
7 August 2013,11 April 2013,2,SIMI
Pictures of the day,Pictures of the day,5,EQUI
Red panda,Missing red panda,5,EQUI
from National Zoo,to National Zoo,5,EQUI
vanishes,returned,4,OPPO
Taiwan,SW Pakistan,2,SIMI
hits,hits,5,EQUI
6.3-magnitude earthquake,7.7-magnitude earthquake,3,SIMI
Heats Up,soar,4,SIMI
Google and IBM Post Strong Earnings,on strong earnings,2,SPE1
Tech Sector,Google shares,3,REL
's presidential candidates,as presidential candidate,5,EQUI
kills,kill,5,EQUI
Car bombing,Car bombings,5,EQUI
in Damascus,in Iraqi capital,2,SIMI
53,13 civilians,2,SPE2
Syria,Iraq,2,SIMI
protests,at protesters,4,SIMI
in Istanbul,in Istanbul,5,EQUI
Turkish PM,Turkish police,3,SIMI
Start,starts,5,EQUI
of San Fermin bull-running festival,San Fermin bull-running festival,5,EQUI
Former LAPD officer,Former CIA officer,3,SIMI
Pakistan court,Pakistan-UN report,2,REL
50th anniversary,On 50th anniversary,5,EQUI
's death,of JFK death,5,EQUI
remembered,its first memorial,3,SPE2
Israel,Gov ' t committee,3,SIMI
frees,release,5,EQUI
Palestinian prisoners,of 26 Palestinian prisoners,4,SPE2
with Mandela family,to Mandela,3,REL
meets,meets,5,EQUI
Obama,Obama,5,EQUI
's leader,Egypt president,5,EQUI
state,state,5,EQUI
imposes,declares,5,EQUI
of emergency,of emergency,5,EQUI
in 3 cities,in three cities,5,EQUI
Nobel Peace Prize,2012 Nobel Peace Prize,4,SPE2
receives,Receives,5,EQUI
EU,EU,5,EQUI
to Death,to Death,5,EQUI
for War Crimes,by War Crimes Tribunal,3,REL
Sentenced,Sentenced,5,EQUI
at Swedish consulate,Swedish Consulate,5,EQUI
Car bomb,Car Bomb,5,EQUI
no casualties,None Hurt,5,EQUI
's Benghazi,in Benghazi,5,EQUI
roadmap,High Hopes,3,REL
will yield,Spur,2,SIMI
nuclear talks,Iran Nuclear Talks,5,EQUI
North Korea,North Korea,5,EQUI
third nuclear test,Third Nuclear Test,5,EQUI
Hits,hits,5,EQUI
in 2012,in 2012,5,EQUI
Record $ 38 bn,record US$ 38b,5,EQUI
Macau Gambling Revenue,Macau gambling revenue,5,EQUI
for Same-Sex Marriages Hearing,for same-sex marriage,3,SPE1
Prepares,pave the way,4,SIMI
NM County,Some county officials,3,SPE1
to host,to host,5,EQUI
2020 Olympic Games,2020 Olympics,5,EQUI
Tokyo,Tokyo,5,EQUI
in Mumbai rape case,in gang-rape case,5,EQUI
Indian police,Mumbai police,4,SPE2
all five suspects,fifth suspect,4,SPE1
round up,arrest,3,SIMI
Syria,about Syria,5,EQUI
on chemical weapons,'s chemical weapons,5,EQUI
US,U.S. concerns,3,SPE2
strengthens,weakens,4,OPPO
China yuan,Chinese yuan,5,EQUI
to 6.2689,to 6.2816,4,SIMI
against USD,against USD,5,EQUI
in new constitution,On New Constitution,5,EQUI
votes,Vote,5,EQUI
Egypt,Egyptians,5,EQUI
in Benghazi,in Benghazi,5,EQUI
kills,hits,2,SPE1
Car bomb,Car bomb,5,EQUI
French-led troops,French-led troops,5,EQUI
on Timbuktu,to Timbuktu,5,EQUI
at joint industrial zone,to joint industrial zone,5,EQUI
to halt,blocks,3,SIMI
N Korea,North Korea,5,EQUI
work,access,3,SPE1
Egyptians,Egyptians,5,EQUI
vote,vote,5,EQUI
on divisive constitution,on constitution change,3,SIMI
final big immigration decisions,final big decisions,5,EQUI
nears,nearing,5,EQUI
Committee,Senate Judiciary Committee,3,SPE2
for Boston bomb victims,for Boston victims,4,SPE1
observes,observes,5,EQUI
London Marathon,London Marathon,5,EQUI
silence,silence,5,EQUI
40,40,5,EQUI
in Canada train disaster,in Canadian train wreck,5,EQUI
missing,missing,5,EQUI
UN presses,UN chief presses,4,SPE2
for major boost,for major boost,5,EQUI
in Syrian aid,in Syrian aid,5,EQUI
N Korea,N. Korea,5,EQUI
controversial rocket launch,controversial rocket launch,5,EQUI
may delay,to delay,5,EQUI
rocks,rocks,5,EQUI
Critical Gates memoir,Gates blast,3,SIMI
Obama administration,Obama administration,5,EQUI
to hacking charges,at phone hacking hearing,4,SPE2
Brooks,Brooks,5,EQUI
not guilty,not guilty,5,EQUI
pleads,pleads,5,EQUI
is working,work,5,EQUI
health care law,new health care law,4,SPE2
declares,pledges,2,REL
Obama,Obama,5,EQUI
protest,protest,5,EQUI
Thousands,Thousands,5,EQUI
gay marriage,gay marriage,5,EQUI
paralyse,besiege,4,SIMI
Thai political protests,Thai protesters,4,SPE1
more ministries,more ministries,5,EQUI
Exclusive-UPDATE,EXCLUSIVE-UPDATE,5,EQUI
2-Egypt pro-Mursi alliance signals flexibility,1-Egypt pro-Mursi alliance signals flexibility,5,EQUI
in talks,in talks,5,EQUI
Deaths,at least one dead,4,SPE2
confirmed,say,4,SIMI
after helicopter,after helicopter,5,EQUI
into Scottish pub,into pub,5,EQUI
crashes,crashes,5,EQUI
Pakistan jailbreak,Taliban prison break,5,EQUI
Militants,250 militants,4,SPE2
stage,escape,3,SIMI
brings,wallops,3,SIMI
Blizzard,Blizzard,5,EQUI
US northeast,US Northeast,5,EQUI
bomb,bomb attack,5,EQUI
Egypt interior minister,'s interior minister,5,EQUI
survives,survives,5,EQUI
's security restrictions,'s security decree,5,EQUI
Critics,of critics,5,EQUI
Putin,Putin,5,EQUI
cracks down,cracks down,5,EQUI
Egypt army,'s military,5,EQUI
on Brotherhood,on Muslim Brotherhood,4,SPE2
for calm,for calm,5,EQUI
Egypt,Egypt,5,EQUI
prays,prays,5,EQUI
braces,braces,5,EQUI
for more protests,for more protests,5,EQUI
"between Raffles Place , Marina Bay",between Raffles Place and Marina Bay,5,EQUI
disrupts,disrupted,5,EQUI
train service,Train service,5,EQUI
Defiant Mugabe,Mugabe,4,SPE1
sworn in,sworn in,5,EQUI
for seventh term,for another term,4,SPE1
Lance Armstrong,Lance Armstrong,5,EQUI
to Oprah,in Oprah interview,5,EQUI
all,to doping,4,SIMI
confesses,confesses,5,EQUI
after wild party,after alleged embassy orgy,4,SPE2
sacked,resigns,2,SIMI
Honduran ambassador,Honduras ambassador,5,EQUI
on upbeat US economic data,"by positive US , China data",3,SPE2
Asian markets,Asian markets,5,EQUI
gain,lifted,4,SIMI
six global powers,world powers,4,SPE1
landmark nuclear deal,nuclear deal,4,SPE1
Iran,Iran,5,EQUI
sign,agree,4,SPE1
Dozens,Dozens,5,EQUI
in air strike,in Syrian air strike,5,EQUI
on bakery,on bakery,5,EQUI
killed,killed,5,EQUI
Obama,Obama,5,EQUI
Mandela ` Inspiration ','s inspiration effect,5,EQUI
Praises,hails,5,EQUI
3-wk high,three-week highs,5,EQUI
Asian markets,Asian stocks,5,EQUI
on hopes,on hopes,5,EQUI
of US debt deal,of U.S. debt deal,5,EQUI
hit,hit,5,EQUI
Patriot missile battery,Patriot missile batteries,5,EQUI
NATO,Obama,2,REL
on Syrian border,near Syrian border,4,SPE1
Guinea,Equatoguineans,2,SIMI
votes,vote,5,EQUI
in long-delayed legislative poll,in legislative polls,4,SPE1
on Sinai Militants,against Sinai militants,5,EQUI
Egypt Army,Egypt,5,EQUI
New Air Raids,new assault,4,SPE1
Launches,launches,5,EQUI
killed,die,4,SIMI
vote,polling stations,4,REL
Thai protesters,Thai protesters,5,EQUI
obstruct,block,5,EQUI
North Korea,North Korea nuclear test,3,SPE2
Nelson Mandela memorial service,Nelson Mandela,3,REL
killed,killed,5,EQUI
in bus crash,in bus accident,4,SPE1
in Italy,in Pakistan,2,SIMI
37,12,2,SIMI
Syrian opposition,Syrian opposition,5,EQUI
Delhi Gang Rape Suspect,Delhi gang-rape verdict,4,REL
the Philippines,Philippines,5,EQUI
hits,Hits,5,EQUI
Most powerful typhoon,Typhoon Utor,3,SIMI
for more Egypt protests,from Egypt protests,3,SIMI
11 hurt,33 hurt,2,SIMI
One dead,6 dead,2,SIMI
Suicide Bomber,Suicide Bomber,5,EQUI
at Afghan Province Council,in Afghanistan,4,SPE1
14,11,4,SIMI
Kills,Kills,5,EQUI
of manslaughter,of murder,5,EQUI
arrested,arrested,5,EQUI
on suspicion,on suspicion,5,EQUI
on Wall St lead,on Wall Street,3,SPE1
Stocks,Stocks,5,EQUI
soar,slump,4,OPPO
in northern Iraq,in northern Lebanon,2,SIMI
17,2,2,SIMI
in bomb attacks,in clashes,3,SPE1
killed,killed,5,EQUI
wounded,wounded,5,EQUI
133,6,1,SIMI
's death,'s death,5,EQUI
over nurse,over nurse,5,EQUI
ailing Mandela,'s former PM Nelson Mandela,5,EQUI
South Africans,South Africa,4,SIMI
"December 6 , 2013","July 12 , 2013",2,SIMI
's Must-Reads,'s Must-Reads,5,EQUI
The Note,The Note,5,EQUI
for Friday,for Friday,5,EQUI
to Central African Republic,in Central African capital,3,REL
hits,jolts,5,EQUI
6.0-magnitude quake,5.0-magnitude quake,3,SIMI
Greece,Japan,2,SIMI
North Korea Nuclear Test,North Korea nuclear test,5,EQUI
Credibility,world credibility,3,SPE2
on the line,on line,3,SIMI
to 6.2767,to 6.1818,4,SIMI
's yuan,China yuan,5,EQUI
against USD Thursday,against USD Tuesday,3,SIMI
weakens,weakens,5,EQUI
kills,Kill,5,EQUI
Suicide bomber,Suicide Bombers,4,SIMI
policeman,3 Soldiers,2,SIMI
in Pakistan,in Pakistan,5,EQUI
to be sentenced,Sentenced,5,EQUI
for terror convictions,for Corruption,3,SIMI
Stocks,US stocks,4,SPE2
rise,ease,2,SIMI
in early trading,in choppy trading,3,SIMI
to helicopter crash,over crash,3,SPE1
UK police,China police,2,SIMI
41,15,2,SIMI
killed,killed,5,EQUI
in Iraq,in Iraq,5,EQUI
wounded,wounded,5,EQUI
in violent attacks,in fresh attacks,4,SIMI
22,90,2,SIMI
to visit,visit,5,EQUI
Kerry,Kerry,5,EQUI
Jordan,to Israel,3,SIMI
on agenda,postpones,2,REL
for Obamacare,for Obamacare,5,EQUI
signs up,to sign up,5,EQUI
US State Department,State Dept security chief,3,SPE1
faulted,resigns,2,REL
over Benghazi,after Benghazi,5,EQUI
Syria,Libya,2,SIMI
Hit,hit,5,EQUI
Kill,kill,5,EQUI
6,4,4,SIMI
Egypt Military,Egypt military,5,EQUI
Suicide Bombs,Suicide bombs,5,EQUI
in Sinai,in Sinai,5,EQUI
in Egypt clashes,clash,4,SPE1
killed,injured,3,SIMI
Four Morsi supporters,as Morsi supporters,4,SPE1
Pistorius officer,Pistorius officer,5,EQUI
from case,on attempted murder charges,3,SPE2
Pakistani Taliban chief Hakimullah Mehsud,Hakimullah,5,EQUI
killed,'s killing,5,EQUI
in drone strike,in bloodshed,3,SIMI
suspect,suspect,5,EQUI
was captured,captured,5,EQUI
Flooding,California wildfire,2,SIMI
evacuation,evacuation,5,EQUI
forces,forces,5,EQUI
of another city,"of homes , university",4,SPE2
rises,rises,5,EQUI
to 30,to six,2,SIMI
Death toll,Death toll,5,EQUI
in Nigeria police attack,in Kenya bus attack,1,SIMI
Australia,Australian PM,3,REL
Iran,Iran,5,EQUI
in nuclear talks,`` peaceful '' nuclear program,2,REL
's Darfur,in Abyei clash,1,SIMI
Seven peacekeepers,Peacekeeper,3,SPE1
killed,killed,5,EQUI
on Syria,at Syria,5,EQUI
over Israeli strikes,second air strike,4,SPE2
voices,confirms,2,SIMI
fire,Fired,5,EQUI
tear gas,Tear Gas,5,EQUI
at Brotherhood protesters,At Gang Rape Protesters,2,SIMI
US Senate,House,4,SIMI
on fiscal cliff deal,on fiscal cliff deal,5,EQUI
to vote,vote,5,EQUI
in Colorado avalanche,in Colorado avalanche,5,EQUI
buried,killed,5,EQUI
5 people,5 snowboarders,4,SPE2
to US defense budget,in defense spending,4,SPE1
`` political '' changes,proposed cuts,2,SIMI
Hagel,Hagel,5,EQUI
approve,approves,5,EQUI
Afghan legislators,Afghan president,4,SPE2
new election law,new election law,5,EQUI
die,die,5,EQUI
in fire,in electrical fire,4,SPE2
Myanmar mosque fire,at mosque,4,SPE1
13 children,13 children,5,EQUI
With Higher Glaucoma Risk,glaucoma risk,5,EQUI
Birth Control,Contraceptive pill,4,SIMI
Linked,doubles,4,SPE2
Iraqi president,Iraqi president,5,EQUI
health problem,stroke,4,SPE2
in hospital,in hospital,5,EQUI
due to,after suffering,4,SIMI
Near the Iranian Embassy,near Iranian embassy,5,EQUI
in Beirut,in Beirut,5,EQUI
Explosions,Two blasts,4,SPE2
on flights,on direct flights,4,SPE2
U.S.,US,5,EQUI
carry-on liquids,carry-on liquids,5,EQUI
bans,bans,5,EQUI
to Russia,to Russia,5,EQUI
Nato troops,NATO strike,4,SIMI
kill,kills,5,EQUI
two Afghan children,11 Afghan children,3,SIMI
in east China,into southeastern China,3,SIMI
landfall,slams,3,SIMI
Typhoon Fitow,Typhoon Fitow,5,EQUI
for James Holmes,for James Holmes,5,EQUI
not guilty plea,Not guilty plea,5,EQUI
Apple app,Apple app,5,EQUI
directs,sends,5,EQUI
drivers,drivers,5,EQUI
to Alaska airport runway,to airport,3,SPE1
postpones,postpones,5,EQUI
family reunions,war-torn family unions,4,SPE2
N Korea,North Korea,5,EQUI
US Senate,US Senate,5,EQUI
of fiscal impasse,Amid Fiscal Impasse,5,EQUI
Iran,Iran,5,EQUI
's nuclear deal,breakthrough nuclear deal,4,SPE2
it,it,5,EQUI
U.S.,U.S.,5,EQUI
says,says,5,EQUI
denies,says,5,EQUI
drone,U.S. drone,4,SPE2
losing,it,5,EQUI
Iran,Iran,5,EQUI
captures,has seized,5,EQUI
escape,escape,5,EQUI
's al-Kweifiya prison,from Libyan jail,4,SPE1
"More than 1,000 inmates",1000 prisoners,4,SPE2
dies,die,5,EQUI
in Cairo clash,in Egypt clashes,4,SPE1
Muslim Brotherhood supporter,Muslim Brotherhood supporters,4,SPE1
In Italy Tour Bus Plunge,In Italian Bus Plunge,5,EQUI
Thirty-Seven Dead,Thirty Dead,4,SIMI
end,close,5,EQUI
lower,lower,5,EQUI
China stocks,China stocks,5,EQUI
Thursday,on Thursday,5,EQUI
within Â ¿ three monthsÂ,in months,4,SPE1
Iran leader Rouhani,Iran President Hassan Rouhani,5,EQUI
nuclear deal,nuclear deal,5,EQUI
fresh election,fresh presidential election,5,EQUI
Maldives,Maldives,5,EQUI
holds,holds,5,EQUI
Israel,Israel,5,EQUI
green-lights,unveils,4,SIMI
1500 settler homes,"1,800 more settler homes",3,SIMI
arrested,arrested,5,EQUI
five accused,All five accused,5,EQUI
Mumbai photojournalist gangrape case,Mumbai journalist gang-rape case,4,SPE1
from judge,by judge,5,EQUI
in Spanish train crash,in Spain crash,5,EQUI
questions,questioned,5,EQUI
Driver,Train driver,5,EQUI
airstrike,air strikes,4,SIMI
in Gaza,near Damascus,3,SIMI
Israel,Israel,5,EQUI
launches,launches,5,EQUI
Trailblazing Israeli electric car company,Trailblazing Israeli electric car company,5,EQUI
to fold,to fold,5,EQUI
conditional bail,bail,4,SPE1
for marriage,to get married,5,EQUI
granted,granted,5,EQUI
Ankeet Chavan,Ankeet Chavan,5,EQUI
in Spanish train crash,in Spanish high-speed train crash,4,SPE2
Up to 50 dead,Over 70 dead,3,SPE1
dies,dies,5,EQUI
Former spokesman,Former Reagan spokesman Larry Speakes,4,SPE2
drag,drag,5,EQUI
lower,lower,5,EQUI
US stocks,stocks,5,EQUI
Weak earnings,Weak earnings,5,EQUI
Three feared dead,Three feared dead,5,EQUI
after helicopter,after helicopter pub crash,5,EQUI
urges,calls,4,SPE1
return,for return,5,EQUI
to peace talks,to peace talks,5,EQUI
's Peres,'s Peres,5,EQUI
Israel,Israel,5,EQUI
against Syria,against Syria,5,EQUI
US,US,5,EQUI
readies,makes,3,SIMI
possible solo action,for action,3,SPE1
found,found,5,EQUI
25 bodies,25 more bodies,4,SPE2
at raided Algerian gas plant,at Algerian gas plant,4,SPE1
to Cardinals,Vatican,4,REL
Says Goodbye,departs,4,REL
Pope Benedict XVI,Pope Benedict XVI,5,EQUI
the East Coast,East Coast,5,EQUI
zipping up,to slide up,3,SIMI
Tropical Storm Andrea,Tropical Storm Andrea,5,EQUI
Israel,Israel,5,EQUI
plan,plans,5,EQUI
900 settlement homes,for new settler homes,4,SPE1
nasty comments,nasty comments,5,EQUI
battle,fight,5,EQUI
Websites,Websites,5,EQUI
anonymity,anonymity,5,EQUI
sets,sets,5,EQUI
on fire,on fire,5,EQUI
Man,Man,5,EQUI
himself,himself,5,EQUI
on the National Mall,'s National Mall,4,SPE2
fired,fired,5,EQUI
after shots,after reports,3,REL
US Capitol Hill,US Capitol,5,EQUI
on lockdown,on lockdown,5,EQUI
for Mekong murderers,for Mekong murderers,5,EQUI
death penalties,death sentences,5,EQUI
Chinese court,Court,4,SPE1
upholds,upholds,5,EQUI
in West Bank,across West Bank,4,SPE2
detain,Arrest,5,EQUI
Israeli forces,Israeli Forces,5,EQUI
5 Palestinians,Five Palestinians,5,EQUI
wins,Wins,5,EQUI
Angela Merkel,Merkel,5,EQUI
in German elections,in Germany Election,5,EQUI
15,14,4,SIMI
killed,kills,5,EQUI
at Russian train station,at Russian train station,5,EQUI
in suicide bombing,Suicide bomber,5,EQUI
Cambodian opposition leader Sam Rainsy,Cambodia opposition head,4,SPE1
returns,turns,4,SIMI
election,in poll bid,4,SIMI
calls,calls,5,EQUI
Biden,Biden,5,EQUI
for trust,for trust,5,EQUI
call,call,5,EQUI
for strike,for strike,5,EQUI
in protest,Turkey unrest,4,SIMI
over police violence,over police crackdown,4,SPE1
2 Turkish unions,Unions,4,SPE1
South African icon Nelson Mandela,'s Nelson Mandela,5,EQUI
hospitalized,Hospitalized,5,EQUI
UBS,UBS,5,EQUI
settles,settles,5,EQUI
US mortgage lawsuit,US mortgage lawsuit,5,EQUI
"North , South Korea","North , South Korea",5,EQUI
to talks,rare talks,3,SPE2
gun control plans,gun control plans,5,EQUI
Obama,Obama,5,EQUI
to announce,to set out,5,EQUI
killed,killed,5,EQUI
Six Australians,Dozens,2,SPE1
in Laos plane crash,in Laos plane crash,5,EQUI
sarin,sarin,5,EQUI
confirms,finds,4,SPE1
in Syria attack,in Syria chemical weapons attack,4,SPE2
UN,U.N.,5,EQUI
used,used,5,EQUI
$ 53m,$ 53 million worth,5,EQUI
steals,steals,5,EQUI
of jewels,of jewels,5,EQUI
Cannes thief,Robber,5,EQUI
Ex-Virginia governor Bob McDonnell,"'s ex-Gov . Bob McDonnell , wife",3,SPE2
with corruption,with corruption,5,EQUI
charged,charged,5,EQUI
Pakistan,Pakistan,5,EQUI
most senior Afghan Taliban prisoner,senior Taliban commander,3,REL
to release,to release,5,EQUI
